Source	Description	ID	Units	Analyzed timeframe 	Resolution	Source	Category
Latitude	Latitude	Latitude	degrees	NA	NA	Geography and physical terrain	Geography and physical terrain
Longitude	Longitude	Longitude	degrees	NA	NA	Geography and physical terrain	Geography and physical terrain
Measurements_of_Pollution_In_The_Troposphere_(MOPITT)	MOPITT Carbon monoxide spring	CO_Spring	ppbv	2001-2010	0.25°	Satellite	Atmospheric
Measurements_of_Pollution_In_The_Troposphere_(MOPITT)	MOPITT Carbon monoxide summer	CO_Summer	ppbv	2001-2010	0.25°	Satellite	Atmospheric
Ozone_Monitoring_Instrument_(OMI)	OMI Nitrogen dioxide spring	NO2_Spring	billion molecules/mm2	2004-2010	0.1°	Satellite	Atmospheric
Ozone_Monitoring_Instrument_(OMI)	OMI Nitrogen dioxide summer	NO2_Summer	billion molecules/mm2	2004-2010	0.1°	Satellite	Atmospheric
Ozone_Monitoring_Instrument_(OMI)	OMI Ozone spring	O3_Spring	Dobson Units	2004-2010	0.25°	Satellite	Atmospheric
Ozone_Monitoring_Instrument_(OMI)	OMI Ozone summer	O3_Summer	Dobson Units	2004-2010	0.25°	Satellite	Atmospheric
SiB3_Modeled_Global_1-degree_Hourly_Biosphere-Atmosphere_Carbon_Flux	SIB3 carbon flux spring	SIB3_carbon_flux_spring	mol/m2/seg	1998-2006	1°	Satellite	Atmospheric
SiB3_Modeled_Global_1-degree_Hourly_Biosphere-Atmosphere_Carbon_Flux	SIB3 carbon flux summer	SIB3_carbon_flux_summer	mol/m2/seg	1998-2006	1°	Satellite	Atmospheric
Ozone_Monitoring_Instrument_(OMI)	OMI UV index spring	UV_index_spring	NASA Earth Observations	2004-2010	0.5°	Satellite	Radiation
Ozone_Monitoring_Instrument_(OMI)	OMI UV index summer	UV_index_Summer	NASA Earth Observations	2004-2010	0.5°	Satellite	Radiation
Clouds_and_Earth's_Radiant_Energy_System_(CERES)	CERES Solar insolation spring	Solar_insolation_spring	W/m2	2006-2010	0.25°	Satellite	Radiation
Clouds_and_Earth's_Radiant_Energy_System_(CERES)	CERES Solar insolation summer	Solar_insolation_summer	W/m2	2006-2010	0.25°	Satellite	Radiation
FLASHFlux	FLASHFlux Net radiation spring	Net_radiation_spring	W/m2	2006-2011	0.25°	Satellite	Radiation
FLASHFlux	FLASHFlux Net radiation summer	Net_radiation_summer	W/m2	2006-2011	0.25°	Satellite	Radiation
Gravity_Recovery_and_Climate_Experiment_(GRACE)	GRACE Water equivalent anomaly spring	Water_equivalent_anomaly_Spring	cm	2002-2010	0.5°	Satellite	Drought stress
Gravity_Recovery_and_Climate_Experiment_(GRACE)	GRACE Water equivalent anomaly summer	Water_equivalent_anomaly_Summer	cm	2002-2010	0.5°	Satellite	Drought stress
Tropical_Rainfall_Monitoring_Mission_(TRMM)	TRMM Rainfall spring	Rainfall_spring	mm	2001-2010	0.25°	Satellite	Precipitation
Tropical_Rainfall_Monitoring_Mission_(TRMM)	TRMM Rainfall summer	Rainfall_summer	mm	2001-2010	0.25°	Satellite	Precipitation
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD05L2	MOD05L2 Total precipitable water (water vapor) spring	Precipitable_water_spring	cm	2002-2010	0.1°	Satellite	Precipitation
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD05L2	MOD05L2 Total precipitable water (water vapor) summer	Precipitable_water_summer	cm	2002-2010	0.1°	Satellite	Precipitation
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD11C3	MOD11C3 Average land surface day temperature spring	LTemp_day_spring	°C	2001-2010	0.1°	Satellite	Temperature
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD11C3	MOD11C3 Average land surface day temperature summer	LTemp_day_summer	°C	2001-2010	0.1°	Satellite	Temperature
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD11C3	MOD11C3 Average land surface night temperature spring	Ltemp_night_spring	°C	2001-2010	0.1°	Satellite	Temperature
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD11C3	MOD11C3 Average land Surface night temperature summer	Ltemp_night_summer	°C	2001-2010	0.1°	Satellite	Temperature
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD13Q1	MOD13Q1 Normalized difference vegetation index spring	NDVI_Spring	Index	2001-2010	0.1°	Satellite	Productivity
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD13Q1	MOD13Q1 Normalized difference vegetation index summer	NDVI_Summer	Index	2001-2010	0.1°	Satellite	Productivity
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD15A2	MOD16A2 Leaf area index during spring	LAI_Spring	m2/m2	2001-2010	0.1°	Satellite	Productivity
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD15A2	MOD16A2 Leaf area index during summer	LAI_Summer	m2/m2	2001-2010	0.1°	Satellite	Productivity
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2	MOD16A2 Global potential evapotranspiration (PET)	MOD16A2_PET	mm/yr	2000-2006	 1 km 2	Satellite	Drought stress
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2	MOD16A2 Global evapotranspiration (ET)	MOD16A2_ET	mm/yr	2000-2006	 1 km 2	Satellite	Drought stress
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2	MOD16A2 Global latent heat flux (LE)	MOD16A2_LE	W/m2	2000-2006	 1 km 2	Satellite	Drought stress
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2	MOD16A2 Aridity index 	MOD16A2_Aridity_index	Index	2001-2013	0.05°	Satellite	Drought stress
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2	MOD16A2 Climatic water deficity 	MOD16A2_Climatic_water_deficit	mm/yr	2001-2013	0.05°	Satellite	Drought stress
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2	MOD16A2 Number of dry months	MOD16A2_Number_of_dry_months	days	2001-2013	0.05°	Satellite	Drought stress
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD17A2	MOD17A2 Gross primary productivity spring	GPP_Spring	gC/m2/day	2001-2010	0.05°	Satellite	Productivity
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD17A2	MOD17A2 Gross primary productivity summer	GPP_Summer	gC/m2/day	2001-2010	0.05°	Satellite	Productivity
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD17A2	MOD17A2 Net primary productivity spring	NPP_Spring	gC/m2/day	2001-2010	0.1°	Satellite	Productivity
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD17A2	MOD17A2 Net primary productivity summer	NPP_Summer	gC/m2/day	2001-2010	0.1°	Satellite	Productivity
GTOPO30	GTOPO30 Topography	Topography	m	1999	30-arc seconds	Satellite	Geography and physical terrain
NASA_Shuttle_Radar_Topographic_Mission_(SRTM)	SRTM 90m Digital Elevation Database v4.1	SRTM_Elevation	m	2008	90 m	Satellite	Geography and physical terrain
AVHRR_Vegetation_Health_Product_(NOAA_STAR)	AVHRR Smoothed Brightness Temperature summer	SMT_Spring	Index	1981–2010	4 km	Satellite	Productivity
AVHRR_Vegetation_Health_Product_(NOAA_STAR)	AVHRR Smoothed Brightness Temperature spring	SMT_Summer	Index	1981–2010	4 km	Satellite	Productivity
AVHRR_Vegetation_Health_Product_(NOAA_STAR)	AVHRR Smoothed NDVI spring	SMN_Spring	Index	1981–2010	4 km	Satellite	Productivity
AVHRR_Vegetation_Health_Product_(NOAA_STAR)	AVHRR Smoothed NDVI summer	SMN_Summer	Index	1981–2010	4 km	Satellite	Productivity
AVHRR_Vegetation_Health_Product_(NOAA_STAR)	AVHRR Temperature Condition Index spring	TCI_Spring	Index	1981–2010	4 km	Satellite	Productivity
AVHRR_Vegetation_Health_Product_(NOAA_STAR)	AVHRR Temperature Condition Index summer	TCI_Summer	Index	1981–2010	4 km	Satellite	Productivity
AVHRR_Vegetation_Health_Product_(NOAA_STAR)	AVHRR Vegetation Condition Index spring	VCI_Spring	Index	1981–2010	4 km	Satellite	Productivity
AVHRR_Vegetation_Health_Product_(NOAA_STAR)	AVHRR Vegetation Condition Index summer	VCI_Summer	Index	1981–2010	4 km	Satellite	Productivity
AVHRR_Vegetation_Health_Product_(NOAA_STAR)	AVHRR Vegetation Health Index spring	VHI_Spring	Index	1981–2010	4 km	Satellite	Productivity
AVHRR_Vegetation_Health_Product_(NOAA_STAR)	AVHRR Vegetation Health Index summer	VHI_Summer	Index	1981–2010	4 km	Satellite	Productivity
The_International_Satellite_Land_Surface_Climatology_Project_(ISLSCP_II)	ISLSCP II CO2 EMISSIONS	CO2_Emissions	C/cm2/sec	1986-1995	1°	Satellite	Atmospheric
WORLD_BANK_Global_Solar_Atlas	WORLD BANK Photovoltaic power potential 	WB_PVOUT	kWh/kWp	1994/1999/2007 (depending on the region) to 2015 	30 arcsec	Satellite	Radiation
WORLD_BANK_Global_Solar_Atlas	WORLD BANK Global horizontal irradiation	WB_GHI	kWh/m2	1994/1999/2007 (depending on the region) to 2015 	30 arcsec	Satellite	Radiation
WORLD_BANK_Global_Solar_Atlas	WORLD BANK Diffuse horizontal irradiation	WB_DIF	kWh/m2	1994/1999/2007 (depending on the region) to 2015 	30 arcsec	Satellite	Radiation
WORLD_BANK_Global_Solar_Atlas	WORLD BANK Global irradiation for optimally tilted surface	WB_GTI	kWh/m2	1994/1999/2007 (depending on the region) to 2015 	30 arcsec	Satellite	Radiation
WORLD_BANK_Global_Solar_Atlas	WORLD BANK Optimum tilt to maximize yearly yield	WB_OPTA	degrees	NA	30 arcsec	Satellite	Radiation
WORLD_BANK_Global_Solar_Atlas	WORLD BANK Direct normal irradiation	WB_DNI	kWh/m2	1994/1999/2007 (depending on the region) to 2015 	30 arcsec	Satellite	Radiation
WORLD_BANK_Global_Solar_Atlas	WORLD BANK Air temperature at 2 m above ground level	WB_TEMP	°C	1994-2015 	30 arcsec	Satellite	Radiation
WORLD_BANK_Global_Solar_Atlas	WORLD BANK Terrain elevation above sea level	WB_ELE	meters	NA	30 arcsec	Satellite	Geography and physical terrain
GPCC_Global_Precipitation_Climatology_Centre__Full_Data_Reanalysis_Version_7	GPCC Precipitation spring	GPCC_Spring	mm	1951-2000	0.5°	Climate stations	Precipitation
GPCC_Global_Precipitation_Climatology_Centre__Full_Data_Reanalysis_Version_7	GPCC Precipitation summer	GPCC_Summer	mm	1951-2000	0.5°	Climate stations	Precipitation
WorldClim_Version2	WorldClim Minimum temperature spring	WC2_Tmin_spring	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim Minimum temperature summer	WC2_Tmin_summer	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim Maximum temperature spring	WC2_Tmax_spring	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim Maximum temperature summer	WC2_Tmax_summer	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim average temperature spring	WC2_Average_temperature_spring	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim average temperature summer	WC2_Average_temperature_summer	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim precipitation spring	WC2_Pre_spring	mm	1970-2000	30 arc sec	Satellite & climate stations	Precipitation
WorldClim_Version2	WorldClim precipitation summer	WC2_Pre_summer	mm	1970-2000	30 arc sec	Satellite & climate stations	Precipitation
WorldClim_Version2	WorldClim solar radiation spring	WC2_Solar_radiation_spring	kJ m-2 day-1	1970-2000	30 arc sec	Satellite & climate stations	Radiation
WorldClim_Version2	WorldClim solar radiation summer	WC2_Solar_radiation_summer	kJ m-2 day-1	1970-2000	30 arc sec	Satellite & climate stations	Radiation
WorldClim_Version2	WorldClim water Vapor Pressure Spring	WC2_Water_vapor_pressure_spring	kPa	1970-2000	30 arc sec	Satellite & climate stations	Atmospheric
WorldClim_Version2	WorldClim water Vapor Pressure Summer	WC2_Water_vapor_pressure_summer	kPa	1970-2000	30 arc sec	Satellite & climate stations	Atmospheric
WorldClim_Version2	WorldClim BIO1 = Annual mean temperature	WC2_BIO1	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO2 = Mean diurnal range	WC2_BIO2	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO3 = Isothermality	WC2_BIO3	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO4 = Temperature seasonality	WC2_BIO4	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO5 = Max temperature of warmest month	WC2_BIO5	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO6 = Min temperature of coldest month	WC2_BIO6	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO7 = Temperature annual range	WC2_BIO7	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO8 = Mean temperature of wettest quarter	WC2_BIO8	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO9 = Mean temperature of driest quarter	WC2_BIO9	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO10 = Mean temperature of warmest quarter	WC2_BIO10	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO11 = Mean temperature of coldest quarter	WC2_BIO11	°C	1970-2000	30 arc sec	Satellite & climate stations	Temperature
WorldClim_Version2	WorldClim BIO12 = Annual precipitation	WC2_BIO12	mm	1970-2000	30 arc sec	Satellite & climate stations	Precipitation
WorldClim_Version2	WorldClim BIO13 = Precipitation of wettest month	WC2_BIO13	mm	1970-2000	30 arc sec	Satellite & climate stations	Precipitation
WorldClim_Version2	WorldClim BIO14 = Precipitation of driest month	WC2_BIO14	mm	1970-2000	30 arc sec	Satellite & climate stations	Precipitation
WorldClim_Version2	WorldClim BIO15 = Precipitation seasonality	WC2_BIO15	mm	1970-2000	30 arc sec	Satellite & climate stations	Precipitation
WorldClim_Version2	WorldClim BIO16 = Precipitation of wettest quarter	WC2_BIO16	mm	1970-2000	30 arc sec	Satellite & climate stations	Precipitation
WorldClim_Version2	WorldClim BIO17 = Precipitation of driest quarter	WC2_BIO17	mm	1970-2000	30 arc sec	Satellite & climate stations	Precipitation
WorldClim_Version2	WorldClim BIO18 = Precipitation of warmest quarter	WC2_BIO18	mm	1970-2000	30 arc sec	Satellite & climate stations	Precipitation
WorldClim_Version2	WorldClimBIO19 = Precipitation of coldest quarter	WC2_BIO19	mm	1970-2000	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA Minimum temperature spring	CHELSA_Tmin_spring	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA Minimum temperature summer	CHELSA_Tmin_summer	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA Maximum temperature spring	CHELSA_Tmax_spring	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA Maximum temperature summer	CHELSA_Tmax_summer	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA Average temperature spring	CHELSA_Tmean_spring	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA Average temperature summer	CHELSA_Tmean_summer	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA Interannual Temperature 	CHELSA_Interann_Temp	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA Precipitation Spring	CHELSA_Pre_spring	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA Precipitation Summer	CHELSA_Pre_summer	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA Interannual precipitation 	CHELSA_Interann_pre	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO1 = Annual mean temperature	CHELSA_BIO1	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO2 = Mean diurnal range	CHELSA_BIO2	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO3 = Isothermality	CHELSA_BIO3	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_ç_land_surface_areas)	CHELSA BIO4 = Temperature seasonality	CHELSA_BIO4	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO5 = Max temperature of warmest month	CHELSA_BIO5	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO6 = Min temperature of coldest month	CHELSA_BIO6	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO7 = Temperature annual range	CHELSA_BIO7	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO8 = Mean temperature of wettest quarter	CHELSA_BIO8	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO9 = Mean temperature of driest quarter	CHELSA_BIO9	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
